Norlin 34 Mk II	1.18
Norlin 37	1.18
Oceanis 311 Clipper	1.16
OE 29	1.06
OE 32	1.07
OE 33 19/20	1.12
OE 33 7/8	1.12
OE 36	1.13
Ohlson 22	0.99
Ohlson 28	1.02
Ohlson 29 -1975	1.04
Ohlson 29 1976-	1.06
Ohlson 8:8	1.06
OK-jolle	1.19
Oksö 32	1.05
Olsen 31	1.10
Omega 28	1.07
Omega 30	1.14
Omega 34	1.17
Omega 36	1.22
Omega 42	1.25
Optimist	0.79
P 28	0.99
Parant	0.96
Passad	1.16
PB 63	0.92
Pearson 30	1.10
Phantom 42	1.25
Piraya	0.98
Player 31 -1977	1.08
Player 31 1978-	1.09
Player 311	1.10
Poker 84	1.06
Polaris Drabant	1.03
Polka 28	1.03
Polka 28 C	1.05
Polo 86	1.08
Pop 16	0.84
Puzzle 36	1.16
R 12 1978-	1.55
R 6 -1986	1.19
R 6 1987-	1.20
Rapid	1.14
Rapier 25 MH	1.05
Rapier 28 MH	1.05
Rapier 30	1.10
Rapier 31	1.11
Rasmus 35	1.03
Ravage 36	1.23
RB 111	1.20
RB 98	1.15
Rhapsody	1.16
Rhapsody Royal	1.20
Rival 22	1.12
RJ 85	1.03
Rock 20	0.97
Runn 37	1.14
Runn Racer 912	1.14
Rush 105	1.17
Rush 111	1.20
Rush 84	1.06
Rush 97	1.11
RW 26	1.14
S 30 (-93)	1.19
S 30 Classic	1.17
S 30 Joker	1.08
Safir	1.15
Sagawind	0.91
Sagitta 35	1.13
Saint 313	1.15
Scalare Mk I	0.94
Scampi	1.09
Scan-kap 99	1.15
Scanmar 25	0.95
Scanmar 31	1.12
Scanmar 33	1.13
Scanmar 345	1.17
Scanmar 35	1.14
Scanner 38	1.25
Scanner 391	1.25
Scanper 22	1.00
Schelinkryssare	1.08
SeaCart 30	2.17
Seacat	0.92
Selection 37	1.26
Semona	1.04
Senorita Helmsman	1.07
Shark 24	0.98
Sheriff 600	0.92
Shipman 28	1.04
Siesta 32	1.15
Sigma 33	1.14
Sirena 44	1.34
Sylphe	0.94
Sjögren 29	1.08
SK 15	1.06
SK 22	1.17
SK 30 -1927	1.17
SK 30 1928-1935	1.18
SK 30 1936-	1.20
SK 40	1.20
Skaw 26	0.96
Skipjack	0.98
Skippi 650 Cr -2006	1.10
Skippi 650 Cr 2007-	1.10
Skippi 650 Racing	1.19
Smaragd	1.19
Smaragd Cruiser	1.17
Smiling	1.05
Smögen 37	1.24
Snipe	1.18
Soling	1.14
Sonata 7	1.01
Späckhuggare	1.05
Spar ES	0.97
Splash	1.13
Sprinta Sport	1.05
Stanley 19 3/4	0.87
Stanley 19 MH	0.89
Starbåt	1.14
Stjärna 66	0.90
Stjärnbåt	0.86
Storebro Royal 33	1.07
Storfidra	0.91
Stortriss Mk II	0.86
Stress 107 Cr	1.17
Sunwind 20	0.91
Sunwind 26	1.02
Sunwind 27	1.03
Sunwind 29	1.07
Sunwind 31	1.09
Sunwind Express 83	1.07
Sveakryssare	1.14
Sw Yachts 340 HR	1.19
Sw Yachts 340 LR	1.18
Sw Yachts 36 Cr	1.21
Sw Yachts 38 Cr	1.23
Sw Yachts 390	1.24
Sw Yachts 41 Cr	1.27
Swan 36 S&S	1.13
Swan 371	1.20
Swan 411	1.25
Swede 38	1.21
Swede 55	1.27
Sweline 36	1.25
Tabasco 26	1.13
Tailwind 33	1.17
Tailwind 35	1.19
Tailwind 36	1.19
Taipan 4,9(1)	1.74
Taipan 4,9(2)	1.66
Targa 101	1.09
Targa 42	1.24
Targa 96	1.08
Tetis	1.03
Thurö 33	1.12
Topaz	1.10
Tornado	1.80
Tornado Classic	1.70
Trapper 300	1.02
Trio 80	1.03
Trio 92	1.08
Trio 96	1.13
Triss Magnum	0.92
Triss Norlin	0.89
Trissjolle	1.03
Trisskryssare	0.90
Trubadur 32	1.13
Tumlaren	1.01
Tur 80	0.99
Tur 84	1.00
Tur 97	1.02
Tvåkrona	0.91
Two Star 36	1.23
Ufo 27	1.05
Ufo 31	1.08
Ufo 34	1.13
Vagabond 31	1.07
Varianty	0.90
Västbris	0.85
Vega	1.00
Vigg Albin	0.97
Vigg Karlskrona	0.97
Vindö 22	0.90
Vindö 28	0.97
Vindö 30	1.00
Vindö 32	1.00
Vindö 40	1.04
Vindö 45	1.06
Vindö 50 (slup)	1.07
Virus 20	1.12
W 30 7/8	1.08
W 50 Nautic 7/8	1.14
Wasa 270	1.11
Wasa 30 HR	1.20
Wasa 30 LR	1.19
Wasa 360	1.22
Wasa 370	1.22
Wasa 38 Cr	1.23
Wasa 410	1.29
Wasa 55	1.24
Wasa Atlantic	1.34
Weta	1.29
Willing 31 HR	1.09
Willing 31 LR	1.07
Windex 92	1.10
Winga 29	1.06
Winga 860	1.04
Winga 87	1.00
X-102	1.19
X-119	1.32
X-302	1.17
X-332	1.24
X-342 7/8	1.20
X-342 MH	1.20
X-35	1.34
X-362 Sport	1.29
X-37 djup köl	1.32
X-37 grund köl	1.30
X-37 medium köl	1.31
X-372 7/8	1.26
X-40 djup köl	1.35
X-40 grund köl	1.33
X-40 medium köl	1.34
X-412	1.32
X-442 MkII	1.36
X-482	1.40
X-512	1.41
X-79	1.14
X-95	1.14
X-99	1.25
Zoom 8	0.90
